cid,status,filename,expected_bytes,car_bytes,local_blocks,creator_address,collection,token_id
QmNPkiAiK3xmWAHxmEh3EjNKFYJG1mFgSyqA27qX1WCea7,partial,nft.mp4,40740800,39969853,79,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,41093
QmNSKWGxT9JsUAmztxaRExTSJD6BqH9f2KM6Q1rStuKY62,partial,nft.png,34479860,34230927,122,0x53fef1b21643ab41545046be961264d24e4c6003,0xe9a00294095ea996b3bbb098746a36afe63ba04a,10
QmP3yfdc9r9K1yFiepzoXQfyv7yzwivtWMekJZH1z6Bk9i,partial,nft.jpg,11204350,10946606,24,0xc4da779262e5011cab487e102357fbb85ef7c08f,0x9697311b5a5d0d1d8327505d2b3f2f62a63837c0,26
QmP8GgovdWz4tjuJGNebtYS7V5oVWXW38PxYAt74So8Mbh,partial,nft.jpg,8211319,7605385,20,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,65738
QmPK4rEkpTzyGdPasrBk9BRYm7Fwme76zrZFbiHVt2rtzg,partial,nft.mp4,49849990,48296113,78,0xd6879b2d4b94613fbcc69b19d4d5455a64eef8f9,0x77b5e25e3b428b4b70a4f5bb96c1bbcf496ac573,1
QmPya8V9Sv7nyJACeE7SuMnaiaictg4JmXFSCb9QoaZ52p,partial,nft.png,9013013,8492282,26,0x41b2bd0ab036bf5fc1848002e4f17b1d3355fee0,0x2a6023e58fa4ba8bc1824cbcbbc93d060e37f9b2,1
QmQ15GxuoVMNaYhzG6WCEsoySBxp2sFBawshGFFg2N2noV,partial,,,57,0,0xf26b614e434a039d0c14e8716910e487c4ef7bd3,0xf9028567664aed04dbee7bbf45e8d76b62561718,24
QmQ1dBinCbLawzhhfTSqZJ1p8juKqZQxMBmXWLvLM9mApM,partial,nft.mp4,12221177,11701634,3,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,40013
QmQ3TQRBa8uxrtBwYMZ9Yq3wuPjqLRGQw4v41tHRMftjmv,partial,nft.mp4,21859676,20032821,5,0x2836d9e5dfc185cc514845c56897021f28f56296,0xc2c6ef3cc0e9314081d79f88f5ab5b23281fc425,2
QmRCnoRk2bPvhDMkWNZzgLw8PnAWyDNBkyv4qiCA1D4xvN,partial,nft.png,22812845,22559550,71,0x15fd7178cabed50e9008cb42b474621e9b07cd5f,0xd8170554703858d8c5705ea8f894deb9b4e83e5b,19
QmSAw5ZrsE9fGhf3rtm2RLwWAwcmexqnhTiVxGS7dKzxDc,partial,nft.mp4,17256941,16739279,15,0x1190b440cfb3a01b5291c77db34fb8493cf5aa2a,0xd896029f1748518fb124a4ea2d706d94d195ce7c,17
